st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-10-17 23:35:00;2013-10-18 01:41:00;126;0.8;6.4;3.7;2013-10-17 23:35:00;2013-10-18 00:08:00;33;0.8;12.1;4.2;2013-10-17 23:38:00;2013-10-18 00:33:00;55;0.9;6.4;3.7;2013-10-17 23:39:00;2013-10-18 00:17:00;38;0.7;13.2;3.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-20 17:05:00;2013-10-20 19:41:00;156;5.8;16.6;11.1;2013-10-20 17:05:00;2013-10-20 18:05:00;60;5.3;12.6;9.2;2013-10-20 17:08:00;2013-10-20 18:45:00;97;6.1;31.3;13.6;2013-10-20 17:07:00;2013-10-20 18:17:00;70;5.9;18.9;11.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-23 23:22:00;2013-10-24 02:41:00;199;0.9;4.2;1.6;2013-10-23 23:29:00;2013-10-24 02:03:00;154;0.8;5.9;1.8;2013-10-23 23:29:00;2013-10-24 01:11:00;102;0.9;6.4;1.9;2013-10-23 23:22:00;2013-10-24 01:12:00;110;0.9;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-02 06:11:00;2013-11-02 11:39:00;328;1.6;4;1.4;2013-11-02 06:11:00;2013-11-02 11:21:00;310;1.8;5.9;1.2;2013-11-02 06:22:00;2013-11-02 11:39:00;317;1.6;6.4;1.9;2013-11-02 06:23:00;2013-11-02 11:26:00;303;1.4;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-03 08:39:00;2013-11-03 13:11:00;272;4.2;6.1;3.1;2013-11-03 08:39:00;2013-11-03 11:17:00;158;3.9;6;3;2013-11-03 08:41:00;2013-11-03 11:18:00;157;4.6;12.2;5.5;2013-11-03 08:45:00;2013-11-03 11:19:00;154;4.1;6.1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-06 01:43:00;2013-11-06 06:29:00;286;4.1;6.2;3.5;2013-11-06 01:43:00;2013-11-06 06:28:00;285;4.4;6.1;5.4;2013-11-06 01:43:00;2013-11-06 06:26:00;283;3.7;6.4;3.1;2013-11-06 01:52:00;2013-11-06 06:29:00;277;4.1;6.1;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-06 21:10:00;2013-11-07 04:11:00;421;3.2;6.1;2.1;2013-11-06 21:11:00;2013-11-07 02:40:00;329;2.9;5.9;1.8;2013-11-06 21:18:00;2013-11-07 02:38:00;320;3.8;6.4;2.5;2013-11-06 21:10:00;2013-11-07 03:57:00;407;3;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-09 04:14:00;2013-11-09 08:21:00;247;2.4;4.2;2.6;2013-11-09 04:18:00;2013-11-09 06:32:00;134;2.3;6;2.4;2013-11-09 04:14:00;2013-11-09 07:17:00;183;2.2;6.4;2.5;2013-11-09 04:32:00;2013-11-09 06:35:00;123;2.6;6.1;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-10 13:06:00;2013-11-10 22:51:00;585;8.1;6.2;2.5;2013-11-10 13:07:00;2013-11-10 20:22:00;435;7.6;5.9;2.4;2013-11-10 13:06:00;2013-11-10 20:24:00;438;8.5;6.4;3.1;2013-11-10 13:07:00;2013-11-10 20:27:00;440;8.2;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-15 06:32:00;2013-11-15 11:01:00;269;1.4;4.1;1.4;2013-11-15 06:37:00;2013-11-15 10:01:00;204;1.5;5.9;1.8;2013-11-15 06:32:00;2013-11-15 09:32:00;180;1.5;6.4;1.3;2013-11-15 06:40:00;2013-11-15 09:46:00;186;1.1;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
