time;RG1;RG2;RG3
10/14/2014 07:28:00;0;0;0
10/14/2014 07:29:00;0;0;0
10/14/2014 07:30:00;0;0;0
10/14/2014 07:31:00;0;0;0
10/14/2014 07:32:00;0;0;0
10/14/2014 07:33:00;0;0;0
10/14/2014 07:34:00;0;0;0
10/14/2014 07:35:00;0;0;0
10/14/2014 07:36:00;0;0;0
10/14/2014 07:37:00;0;0;0
10/14/2014 07:38:00;0;0;0
10/14/2014 07:39:00;0;0;0
10/14/2014 07:40:00;0;0;0
10/14/2014 07:41:00;0;0;0
10/14/2014 07:42:00;0;0;0
10/14/2014 07:43:00;0;0;0
10/14/2014 07:44:00;0;0;0
10/14/2014 07:45:00;0;0;0
10/14/2014 07:46:00;0;0;0
10/14/2014 07:47:00;0;0;0
10/14/2014 07:48:00;0;0;0
10/14/2014 07:49:00;0;0;0
10/14/2014 07:50:00;0;0;0
10/14/2014 07:51:00;0;0;0
10/14/2014 07:52:00;0;0;0
10/14/2014 07:53:00;0;0;0
10/14/2014 07:54:00;0;0;0
10/14/2014 07:55:00;0;0;0
10/14/2014 07:56:00;0;0;0
10/14/2014 07:57:00;0;0;0
10/14/2014 07:58:00;0;0;0
10/14/2014 07:59:00;0;0;0
10/14/2014 08:00:00;0;0;0
10/14/2014 08:01:00;0;0;0
10/14/2014 08:02:00;0;0;0
10/14/2014 08:03:00;0;0;0
10/14/2014 08:04:00;0;0;0
10/14/2014 08:05:00;0;0;0
10/14/2014 08:06:00;0;0;0
10/14/2014 08:07:00;0;0;0
10/14/2014 08:08:00;0;0;0
10/14/2014 08:09:00;0;0;0
10/14/2014 08:10:00;0;0;0
10/14/2014 08:11:00;0;0;0
10/14/2014 08:12:00;0;0;0
10/14/2014 08:13:00;0;0;0
10/14/2014 08:14:00;0;0;0
10/14/2014 08:15:00;0;0;0
10/14/2014 08:16:00;0;0;0
10/14/2014 08:17:00;0;0;0
10/14/2014 08:18:00;0;0;0
10/14/2014 08:19:00;0;0;0
10/14/2014 08:20:00;0;0;0
10/14/2014 08:21:00;0;0;0
10/14/2014 08:22:00;0;0;0
10/14/2014 08:23:00;0;0;0
10/14/2014 08:24:00;0;0;0
10/14/2014 08:25:00;0;0;0
10/14/2014 08:26:00;0;0;0
10/14/2014 08:27:00;0;0;0
10/14/2014 08:28:00;0;0;0
10/14/2014 08:29:00;0;0;0
10/14/2014 08:30:00;0;0;0
10/14/2014 08:31:00;0;0;0
10/14/2014 08:32:00;0;0;0
10/14/2014 08:33:00;0;0;0
10/14/2014 08:34:00;0;0;0
10/14/2014 08:35:00;0;0;0
10/14/2014 08:36:00;0;0;0
10/14/2014 08:37:00;0;0;0
10/14/2014 08:38:00;0;0;0
10/14/2014 08:39:00;0;0;0
10/14/2014 08:40:00;0;0;0
10/14/2014 08:41:00;0;0;0
10/14/2014 08:42:00;0;0;0
10/14/2014 08:43:00;0;0;0
10/14/2014 08:44:00;0;0;0
10/14/2014 08:45:00;0;0;0
10/14/2014 08:46:00;0;0;0
10/14/2014 08:47:00;0;0;0
10/14/2014 08:48:00;0;0;0
10/14/2014 08:49:00;0;0;0
10/14/2014 08:50:00;0;0;0
10/14/2014 08:51:00;0;0;0
10/14/2014 08:52:00;0;0;0
10/14/2014 08:53:00;0;0;0
10/14/2014 08:54:00;0;0;0
10/14/2014 08:55:00;0;0;0
10/14/2014 08:56:00;0;0;0
10/14/2014 08:57:00;0;0;0
10/14/2014 08:58:00;0;0;0
10/14/2014 08:59:00;0;0;0
10/14/2014 09:00:00;0;0;0
10/14/2014 09:01:00;0;0;0
10/14/2014 09:02:00;0;0;0
10/14/2014 09:03:00;0;0;0
10/14/2014 09:04:00;0;0;0
10/14/2014 09:05:00;0;0;0
10/14/2014 09:06:00;0;0;0
10/14/2014 09:07:00;0;0;0
10/14/2014 09:08:00;0;0;0
10/14/2014 09:09:00;0;0;0
10/14/2014 09:10:00;0;0;0
10/14/2014 09:11:00;0;0;0
10/14/2014 09:12:00;0;0;0
10/14/2014 09:13:00;0;0;0
10/14/2014 09:14:00;0;0;0
10/14/2014 09:15:00;0;0;0
10/14/2014 09:16:00;0;0;0
10/14/2014 09:17:00;0;0;0
10/14/2014 09:18:00;0;0;0
10/14/2014 09:19:00;0;0;0
10/14/2014 09:20:00;0;0;0
10/14/2014 09:21:00;0;0;0
10/14/2014 09:22:00;0;0;0
10/14/2014 09:23:00;0;0;0
10/14/2014 09:24:00;0;0;0
10/14/2014 09:25:00;0;0;0
10/14/2014 09:26:00;0;0;0
10/14/2014 09:27:00;0;0;0
10/14/2014 09:28:00;0;0;0
10/14/2014 09:29:00;0;0;0
10/14/2014 09:30:00;0;0;0
10/14/2014 09:31:00;0;0;0
10/14/2014 09:32:00;0;0;0
10/14/2014 09:33:00;0;0;0
10/14/2014 09:34:00;0;0;0
10/14/2014 09:35:00;0;0;0
10/14/2014 09:36:00;0;0;0
10/14/2014 09:37:00;0;0;0
10/14/2014 09:38:00;0;0;0
10/14/2014 09:39:00;0;0;0
10/14/2014 09:40:00;0;0;0
10/14/2014 09:41:00;0;0;0
10/14/2014 09:42:00;0;0;0
10/14/2014 09:43:00;0;0;0
10/14/2014 09:44:00;0;0;0
10/14/2014 09:45:00;0;0;0
10/14/2014 09:46:00;0;0;0
10/14/2014 09:47:00;0;0;0
10/14/2014 09:48:00;0;0;0
10/14/2014 09:49:00;0;0;0
10/14/2014 09:50:00;0;0;0
10/14/2014 09:51:00;0;0;0
10/14/2014 09:52:00;0;0;0
10/14/2014 09:53:00;0;0;0
10/14/2014 09:54:00;0;0;0
10/14/2014 09:55:00;0;0;0
10/14/2014 09:56:00;0;0;0
10/14/2014 09:57:00;0;0;0
10/14/2014 09:58:00;0;0;0
10/14/2014 09:59:00;0;0;0
10/14/2014 10:00:00;0;0;0
10/14/2014 10:01:00;0;0;0
10/14/2014 10:02:00;0;0;0
10/14/2014 10:03:00;0;0;0
10/14/2014 10:04:00;0;0;0
10/14/2014 10:05:00;0;0;0
10/14/2014 10:06:00;0;0;0
10/14/2014 10:07:00;0;0;0
10/14/2014 10:08:00;0;0;0
10/14/2014 10:09:00;0;0;0
10/14/2014 10:10:00;0;0;0
10/14/2014 10:11:00;0;0;0
10/14/2014 10:12:00;0;0;0
